run_id,note,engine,mode,shards,server_threads,shard_io_threads,cores_used,server_cpus,client_cpus,client_threads,client_conns,pipeline,ratio,data_bytes,key_max,test_time,populate,rep,ops_per_sec,ops_per_core,p50_ms,p99_ms,p999_ms,hit_rate,hits_per_sec,misses_per_sec,conn_errors,kb_per_sec
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,1,1050872.72,131359.09,0.911,1.495,1.695,1.0,955317.24,0.0,0,1095353.76
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,1,1061157.35,132644.67,0.911,1.471,1.687,1.0,530567.08,0.0,0,1108193.38
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,mget10,1024,1000000,20,1,1,278815.51,34851.94,3.263,6.911,8.639,1.0,2788155.13,0.0,0,5749964.96
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,mset10,1024,1000000,20,1,1,245853.34,30731.67,3.471,11.199,16.895,,0.0,0.0,0,5070191.71
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,2,1055870.23,131983.78,0.903,1.487,1.703,1.0,959859.18,0.0,0,1100562.82
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,2,1060363.47,132545.43,0.903,1.487,1.695,1.0,530169.81,0.0,0,1107364.29
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,mget10,1024,1000000,20,1,2,278322.51,34790.31,3.263,6.943,8.831,1.0,2783225.1,0.0,0,5739797.74
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,mset10,1024,1000000,20,1,2,246517.79,30814.72,3.471,11.071,16.639,,0.0,0.0,0,5083894.5
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,1,1844896.94,230612.12,7.999,16.895,20.863,1.0,1677154.59,0.0,0,1922987.12
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,1,2093192.3,261649.04,6.879,16.895,21.631,1.0,1046572.8,0.0,0,2185973.44
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,mget10,1024,1000000,20,1,1,257243.7,32155.46,57.855,91.647,103.423,1.0,2579631.16,0.0,0,5305093.22
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,mset10,1024,1000000,20,1,1,248536.6,31067.08,60.927,91.135,105.983,,0.0,0.0,0,5125528.15
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,2,1802007.18,225250.9,8.159,17.407,21.375,1.0,1638163.66,0.0,0,1878281.99
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,2,2037050.17,254631.27,7.071,17.535,22.783,1.0,1018501.56,0.0,0,2127342.74
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,mget10,1024,1000000,20,1,2,257733.36,32216.67,57.599,91.647,102.911,1.0,2584525.89,0.0,0,5315191.31
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,mset10,1024,1000000,20,1,2,248945.28,31118.16,60.927,90.623,104.447,,0.0,0.0,0,5133956.2
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,1,1:10,100,1000000,20,1,1,1346851.73,168356.47,0.207,6.271,11.519,1.0,1224389.15,0.0,0,187222.3
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,1,1:1,100,1000000,20,1,1,1264055.81,158006.98,0.191,6.399,11.775,1.0,632015.78,0.0,0,178237.99
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,1,1:10,100,1000000,20,1,2,1302531.81,162816.48,0.207,7.519,11.391,1.0,1184098.51,0.0,0,181061.49
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,1,1:1,100,1000000,20,1,2,1284280.85,160535.11,0.199,7.135,11.583,1.0,642129.65,0.0,0,181089.79
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,16,1:10,100,1000000,20,1,1,5086236.26,635779.53,18.047,34.559,43.519,1.0,4623830.78,0.0,0,707023.71
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,16,1:1,100,1000000,20,1,1,5123393.62,640424.2,17.407,33.535,47.615,1.0,2561685.26,0.0,0,722422.73
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,16,1:10,100,1000000,20,1,2,4969190.83,621148.85,18.815,35.839,38.143,1.0,4517427.64,0.0,0,690753.62
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,16,1:1,100,1000000,20,1,2,4898054.83,612256.85,18.815,36.351,72.703,1.0,2449015.14,0.0,0,690649.02
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,1,1145489.49,143186.19,0.199,6.911,12.991,1.0,1041332.2,0.0,0,1193975.42
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,1,1150012.54,143751.57,0.239,8.447,12.799,1.0,574993.2,0.0,0,1200987.05
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,2,1139791.69,142473.96,0.199,6.975,13.119,1.0,1036152.14,0.0,0,1188036.47
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,2,1126066.8,140758.35,0.207,7.103,13.311,1.0,563019.37,0.0,0,1175979.94
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,1,3044997.15,380624.64,16.639,57.343,64.511,1.0,2768155.07,0.0,0,3173884.59
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,1,3188758.32,398594.79,18.559,49.919,66.047,1.0,1594346.26,0.0,0,3330100.45
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,2,3052464.56,381558.07,16.639,56.575,214.015,1.0,2774939.55,0.0,0,3181668.1
20260901-083406,scale-8c,redis,cluster,8,8,1,8,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,2,3217524.82,402190.6,18.559,51.199,64.511,1.0,1608736.34,0.0,0,3360141.94
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,1,1:10,100,1000000,20,1,1,1327820.94,165977.62,0.199,6.175,11.647,1.0,1207088.76,0.0,0,184576.87
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,1,1:1,100,1000000,20,1,1,1244934.45,155616.81,0.183,6.367,11.967,1.0,622456.67,0.0,0,175541.78
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,1,1:10,100,1000000,20,1,2,1263117.25,157889.66,0.191,6.303,11.775,1.0,1148266.8,0.0,0,175582.6
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,1,1:1,100,1000000,20,1,2,1247639.95,155954.99,0.191,6.367,11.903,1.0,623809.77,0.0,0,175923.28
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,16,1:10,100,1000000,20,1,1,4754127.01,594265.88,19.455,38.399,39.423,1.0,4321909.68,0.0,0,660858.05
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,16,1:1,100,1000000,20,1,1,4824516.05,603064.51,19.327,37.119,38.143,1.0,2412243.72,0.0,0,680279.8
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,16,1:10,100,1000000,20,1,2,5101346.8,637668.35,17.279,34.047,48.383,1.0,4637565.92,0.0,0,709124.3
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,16,1:1,100,1000000,20,1,2,4930409.93,616301.24,18.047,35.583,40.959,1.0,2465193.99,0.0,0,695211.31
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,1,1151740.35,143967.54,0.247,8.703,12.607,1.0,1047014.82,0.0,0,1200490.87
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,1,1147599.36,143449.92,0.223,7.359,12.863,1.0,573787.9,0.0,0,1198466.9
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,2,1144337.16,143042.14,0.223,8.031,12.863,1.0,1040284.45,0.0,0,1192774.35
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,2,1135035.71,141879.46,0.207,7.007,13.119,1.0,567503.83,0.0,0,1185346.39
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,1,3030318.55,378789.82,17.151,57.343,64.767,1.0,2754809.25,0.0,0,3158584.68
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,1,3127493.56,390936.7,19.327,50.687,63.743,1.0,1563728.08,0.0,0,3266120.05
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,2,3009027.7,376128.46,16.895,55.551,63.231,1.0,2735462.38,0.0,0,3136392.57
20260901-083406,scale-8c,valkey,cluster,8,8,1,8,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,2,3103379.55,387922.44,19.071,51.967,68.095,1.0,1551659.8,0.0,0,3240937.22
20260901-083406,scale-16c,dragonfly,single,16,16,1,16,0-3,0-95,48,20,1,1:10,100,1000000,20,1,1,2357466.09,147341.63,0.383,0.823,1.711,1.0,2143129.65,0.0,0,327705.05
20260901-083406,scale-16c,dragonfly,single,16,16,1,16,0-3,0-95,48,20,1,1:1,100,1000000,20,1,1,2293324.24,143332.77,0.391,0.823,1.511,1.0,1146650.65,0.0,0,323369.78
